NODELIST   NODES                          PARTITION STATE
hacc-gpu0      1                           cpu_only down*
hacc-gpu1      1                    mi210_u280_u55c idle
hacc-gpu1      1   mi210_u280_u55c_long_reservation idle
hacc-gpu1      1 xilinx_u55c_gen3x16_xdma_3_202210_1 idle
hacc-gpu2      1 xilinx_u55c_gen3x16_xdma_3_202210_1 mix
hacc-gpu3      1 xilinx_u55c_gen3x16_xdma_3_202210_1 idle
hacc-node0     1                    vck5000_compile idle
hacc-u250-1     1     u250_standard_reservation_pool idle
hacc-u250-1     1         u250_long_reservation_pool idle
hacc-u250-1     1 xilinx_u250_gen3x16_xdma_3_1_202020_1 idle
hacc-u250-2     1     u250_standard_reservation_pool idle
hacc-u250-2     1         u250_long_reservation_pool idle
hacc-u250-2     1 xilinx_u250_gen3x16_xdma_3_1_202020_1 idle
hacc-u250-3     1     u250_standard_reservation_pool idle
hacc-u250-3     1         u250_long_reservation_pool idle
hacc-u250-3     1 xilinx_u250_gen3x16_xdma_3_1_202020_1 idle
hacc-u250-4     1     u250_standard_reservation_pool idle
hacc-u250-4     1         u250_long_reservation_pool idle
hacc-u250-4     1 xilinx_u250_gen3x16_xdma_3_1_202020_1 idle
hacc-u250-5     1 xilinx_u250_gen3x16_xdma_3_1_202020_1 idle
hacc-u250-6     1 xilinx_u250_gen3x16_xdma_3_1_202020_1 idle
hacc-u250-frp     1     u250_standard_reservation_pool idle
